Strategy Objective,Code,Program,Activity, Budget ,Output/Service Target,Target,Action,Due Date,Comments/Risks,Progress
DEVELOP A HARMONIZED NATIONAL STATISTICS OFFICE,5.1,"Publication, Dissemination & Information",MFDB," VUV 30,000 ",5.1.1. Maintain release calendar; enhance website tools; produce user guides & infographics,1,Maintain and publish an annual release calendar,Jan,Delays in receiving finalized datasets from sections,
,,,, VUV - ,5.1.2. Disseminate Dec “25 through Nov 25’ Monthly Reports (Trades & Tourism),1,"Update VBOS website and upload monthly, quarterly, and annual reports",On-going,Limited IT capacity affecting website updates,
,,,, VUV - ,"5.1.3. Disseminate 4th qtr. 2025 and 1st, 2nd, & 3rd qtr. 2025 reports for QSI, CPI and MS ",1,"Produce infographics, video explainers, and user guides",April,Budget constraints for multimedia materials,
,,,, VUV - ,"5.1.4. Disseminate All Annual Reports (GDP highlights, etc..)",1,"Conduct training sessions for ministries, media, and schools",April,Low participation in public training sessions,
,,,," VUV 30,000 ","5.1.5. Disseminate Ad hoc Reports (Agriculture Census Report, NPHC Monographs, Business Survey Reports, MICS Report, etc.)",1,,,,
,,,," VUV 300,000 ","5.1.6. Conduct training sessions for ministries, schools & media on stats use",1,,,,
,,,," VUV 100,000 ",5.1.7. Produce short video explainers/animated infographics for major releases,1,,,,
,5.2,Methods & Standards Framework Development,,,5.2.1. Development of the 5year Methods & Standards Strategy Plan,1,Develop the 5-year Methods & Standards Strategy Plan,June,Limited staff technical expertise to finalize manuals,
,,,,,,,Finalize and publish the Data Standard Manual,June,Unpredictatble delayed in collaboration with Economics Section,
,,,,,5.2.2. Development of the Data Standard Manual,1,,,,
,,,,,5.2.3. Implementing the Generic Statistical Business Process Model (GSBPM),1,"Implement and document GSBPM visual process flows for CPI, GDP, and Trade",June,Lack of alignment across sections on standard definitions.,
,5.3,Digital Data Collection & Processing,,,5.3.1. Metadata Management: Share best practices on building and maintaining a central metadata repository for all surveys and censuses.,1,Document metadata for HIES and ad-hoc surveys,Dec,Incomplete or outdated metadata from survey teams,
,,,MFDB,,,,Regularly update the NSDP Indicator Platform,On-going,Technical downtime of the indicator platform - data fragmentation,
,,,," VUV 20,000 ",5.3.2. Regular update of the NSDP Indicators Platform,1,Coordinate with survey teams to maintain metadata completeness,Dec,Limited staff capacity to maintain continuous updates,
,5.4,Data Access & Dissemination Standards,," VUV 150,000 ","5.4.1. Support VBOS in improving its statistical website for easy data access, dashboards, and API integration.",1,Support VBOS website redesign with dashboards and APIs,June,Security risks relating to microdata access,
,,,MFDB,,"5.4.2. Guidance on managing microdata access, data anonymization, and licensing policies to protect privacy while improving accessibility.",1,Develop guidelines on microdata access and anonymization,June,Inadequate anonymization practices leading to privacy concerns,
,,,," VUV 150,000 ","5.4.3. Training on modern data visualization, infographics, and public communication standards.",1,"Train staff on data visualization, infographics, and communication",March,Slow website modernization due to limited technical resources,
,5.5,Data Quality Assurance & Evaluation,MFDB,,"5.5.1. Develop the assurance checklists for the most critical outputs (e.g., CPI, GDP, Trade statistics)",1,"Develop quality assurance checklists for CPI, GDP, and Trade statistics",June,Inconsistent application of QA procedures across sections,
,,,,,,,Test and validate QA tools with responsible sections,Jan-Dec,Staff unfamiliarity with new QA requirements,
