Strategy Objective,Code,Program,Activity, Budget ,Output/Service Target,Target,Action,Due Date,Comments/Risks,Progress
DEVELOP A HARMONIZED NATIONAL STATISTICS OFFICE,10.1,10 year Data Collection Plan,MFDB, Donor ,HIES,,,,,
,,,,,10.1.1. Recruitment,1,Communicate with publicity team in Vila,2026,Natural Disaster and Pandemic,
,,,,,10.1.2. Logistics,1,Communicate with recruitment team in Vila,,,
,,,,,10.1.3. Training of Enumerators,1,Get Transport cost from all area councils,,Mitigation: Liaise with Project Coordinator for way forward,
,,,,,10.1.4. Publication ,1,Assist Port Vila Team,,,
,,,,,10.1.5. 12 Months Field Work Collection ,1,Field work collection monitoring in Malampa,,,
,10.2,Production of Regular Publications,MFDB,,PSI,,,,,
,,,," 300,000 ",10.2.1. Malampa Provincial Statistical Indicator,1,Send follow up emails and phone calls,31.12.26,Natural Disaster and Pandemic,
,,,,,10.2.2. Malampa Provincial Business License Registry Updates,1,Annual Business License Registry updates,31.12.26,Mitigation: Seek Assistance to ensure PSI and Registry are updated,
,10.3,Administration and Planning ,MFDB,,10.3.1. DCM Malampa Workplan Monitored,1,Coordinate and Facilitate Plans,31.12.26,Delay in Plans due to Natural Disaster or unforseen activities.,
,,,," 50,000 ",10.3.2. Malampa Monthly Reporting on DCM Activities,12,Coordinate Activities and compile a report,31.12.26,,
,,,,,10.3.3. Malampa Quaterly Reporting on DCM Activities,4,Coordinate Activities and compile a report,31.12.26,Mitigation: Push Activites to a later date and notify superiors of the changes,
,,,,,10.3.4. Capacity Building for Malampa Officer,1,Liaise with Admin for Training Opportunity,31.12.26,,
,,,,,10.3.5. Malampa Inventory System Updated,1,Update Inventory System,31.12.26,,
,,,," 930,000 ",10.3.6. Effective Management of Malampa Operation ,1,Liaise with Admin to ensure effectiveness of Admin support,31.12.26,,
,,,," 280,000 ",10.3.7. Malampa Provincial Event,1,Provide assistance and coordination during provincial events in Malampa (North). ,31.12.26,,
,,,," 30,000 ",10.3.8. Coordinate Surveys and Censuses at the Provincial Level,4,Good communication and planning with survey and census leads to ge high qualiy data collection. ,31.12.26,,
,10.4,Other Activities,MFDB," 100,000 ",10.4.1. Malampa VBoS Representative in PTAC,12,Present during every PTAC Meeting ,31.12.26,,
,,,," 50,000 ",10.4.2. Develop strong relationship with stakeholders and all enquiries are dealth with in a timely manner,1,Facilitate all enquiries received from stakeholders,31.12.26,,
,,,," 50,000 ",10.4.3. Provide technical support for a smooth running process of the survey ,1,Provide assistance and coordination ,31.12.26,,
,,TOTAL BUDGET,," 1,790,000 ",,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
