Strategy Objective,Code,Program,Activity, Budget ,Output/Service Target,Target,Action,Due Date,Comments/Risks,Progress
DEVELOP A HARMONIZED BUREAU OF STATISTICS ,ADMINISTRATION,,,,,,,,,
,,Annual Planning,MFBB," 2,000,000 ",BUSINESS PLAN ,,,,,
,,,,,3.1.1. 2026 Business Plan Reviewed,1,Coordinate 2026 BP Review,30-Apr-26,Office change of priorities and Commitments,Not Yet Started
,,,,,3.1.2. 2027 Business Plan Workshop Conducted,1,Coordinate 2027 Business Plan Workshop Arrangements,30-Apr-26,Mitigation: Review workplan to align with the changes,Not Yet Started
,,,,,3.1.3. 2027 Business Plan Compiled and Signed,1,Compile 2027 BP and Submit to DSPPAC  and NSAC for review and approval,30-Nov-26,,Not Yet Started
,,,," 100,000 ",ANNUAL REPORT,,,,,
,,,,,3.1.4. 2025 Annual Report submit to NSAC,1,Develop 2025 Annual Report Template. Liaise with Executives for review,30-Jan-26,Information required is lost,In Progress
,3.1,,,,,,Compile the Draft and submit to NSAC,27-Feb-26,Mitigation: Address lost- of information in the AR and inform Ministry accordingly,
,,,,,,,2025 Annual Report signed and submit to MFEM Minister,30-Mar-26,,
,,,,,EXECUTIVE AND STAFF MEETINGS,,,,,
,,,," 600,000 ",3.1.5.Executive Meetings,11,Coordinate Executtive Meetings,Monthly,Meeting could not held due to Natural Disaster,Up to date
,,,," 400,000 ",3.1.6. Staff Meetings,2,Coordinate Staff Meetings,Quaterly,Mitigation: Resort to Video Conferencing,Not Yet Started
,,,,,ADMIN AND FINANCE SECTION MEETINGS,,,,Meeting could not held due to Natural Disaster,Up to date
,,,," 180,000 ",3.1.7. Admin and Finance Quaterly Meetings,4,Coordinate Section Meeting,Quaerly,Mitigation: Resort to Video Conferencing,
,3.2,Front Desk Management Report,MFBB," 2,000,000 ",3.2.1. Incoming and Outgoing Correspondence Report,4,Develop a record of Incoming and Outgoing correspondence,Quarterly,Services are not delivered due to natural disaster and pandemic,Up to date
,,,,,3.2.2. Customs Services Complaints Report,,Develop a record excel of Customer Complaints ,,Mitigation: Business Continuity Plan - Disaster SOP,Up to date
,,,,,3.2.3. Official Function Logistics Report and Admin Expenses,,Develop a record excel for Official Functions logistics,,,Up to date
,3.3,Filing Management System,MFBB,,3.3.1. A Filing System is developed for LPO,1,"Hire an Intern to do filing for LPO Fund 2, LPO for Fund 4 and Incoming and outgoing correspondence in hard copies and upload to cloud for Admin and Finance to access",30-Mar-26,,Complete
,,,,,3.3.2. A Filing System is developed for Incoming and Outgoing Correspondence,1,,30-Mar-26,Natural disaster destroy filing  or filing lost,Complete
,,,,,3.3.4. A Filing System is developed for Project LPOs,1,,30-Mar-26,Mitigation: Scan all files to share drive or one drive,Complete
,,,,,3.3.5. Staff Profiling (Personal files updated) - FMIS ,52,,30-Mar-26,,In Progress
,3.4,Asset procurement & Registration,MFBB," 50,000 ",3.4.1. Asset Reocrds Up to Date - Quaterly Reporting,4,Prepare Asset Procurement,Quarterly,Poor Management of assets allocated to staffs,Not Yet Started
,,,,,,,Prepare Asset Form,,Assets lost and damage,
,,,,,3.4.2. Asset Registry System Implemented (SLC Assistance) ,1,Update the Asset Registry ,30-Apr-26,Miigation: Quarterly follow up on the status of Asset and dispose assets with worn conditions,In Progress (Access On and Off) 
,,,,,,,Liaise with Finance for Asset Number,,,
,,,,,,,Asset disposal Updates ,,,
,,,,,,,Develop an Asset Excel Record ,,,
,3.5,Fleet Management and Reporting,MFBB," 900,000 ",3.5.1. VBoS Vehicle Log Book Updates,1,Update the vehicle Log Book ,30-Jan-26,Poor Vehicle Maintenance,Up to date - G221 Pending
,,,,,,,Liaise with a Printing Company to develop a vehicle log book for VBoS,,Mitigation: Schedule vehicle maintenance and cross check fuel logs ,
,,,,,3.5.2. Fuel Consunption and Vehicle Inspection Reporting,4,Prepare fuel consumption and vehicel ,Quarterly,,Up to date  
,,,,,,,Inspecion Report ,,No funds available,
,,,,,3.5.3. New Vehicle for Admin and Finance,1,Liaise with CS and PSC for New Vehicle ,30-Mar-26,Mitigation: 2027 Proposal or Project Funds,Pending DG Approval
,3.6,Development of Policies and Guidelines,MFBB,,3.6.1. HEALTH AND SAFETY POLICY AND GUIDE,1,Develop a Health and Safety Policy and Guide Template,30-Jun-26,Delay in development and implementation of the policy,Not Yet Started
,,,,,,,Compile with Disaster Risk SOP,30-Jun-26,Mitigation: Review Business Plan deadline to align the workload to achieve the objective,
,,,,,,,Present the Health and Safety with Team,30-Apr-26,,
,,,,,,,Launch the Health and Safety Policy and Guide,30-Jun-26,,
,,,,,3.6.2. PROMEDIC MEMBERSHIP,1,Liaise with Pro Medic for VBoS Membership,30-Jun-26,No funds available to cater for the Membership Fee,In Progress  
,,,,,,,,,Mitigation - Seek Support from other sources,
