Strategy Objective,Code,Program,Activity,Budget,Output/Service Target,Target,Action,Due Date,Comments/Risks,Progress
,7.1,Stakeholder Support and Engagement,MFDB,"30,000",7.1.1. Collecttion and Production of Labor Statistics Quaterly Reports,4, i. Monthly download of labour mobility data from MIDAS,Quarterly,VBoS team to work closely with the labor department on their domestic and overseas employment dataset to produce quarterly reportings,In-Progress
,,,,,,," ii.Data Cleaning, processing and analysis",,,
,,,,,,," iii.Quaterly review, finalize and publish",,,
,,,,,,,iv. Support labor department in developing domestic labor market statistics,,,
,,,,"30,000",7.1.2. Collection and Production of Infrastructure Statistics,1,i. Develop 5 infrastructure indicators,30-Sep-26,"VBoS team will be work with PWD, Civil Aviation, Ports Harbour, etc..on their available datasets",In-Progress
,,,,,,,ii. Develop infrastructure data collection plan,,,
,,,,,,,iii. Liaise with stakeholders for access to their administrative datasets for data analysis reporting,,,
,,,,"10,000",7.1.3. Providing support to the DoH and CRIMS with their Death data and compilation of NCD relateed death statistical report - Health Statistics - NCD Report and Annual Report on Deaths ,2,i. Continuous dialogue with the HIS team within the Department of Health to collaboratively conduct the NCD Steps survey ,30-Jun-26,"The challenge would be  the availability of the death data, VBoS having access to CRIMS for the extraction of datasets for report compilation",In-Progress
,,,,,,,Compile a NCD report (Trades data),,,
,,,,,,,"ii. Work with HIS team, CRIMS and SPC to consolidate death data",,,
,,,,"10,000",7.1.4. Population and Demographic Statistics Registry Draft Plan developed,1,i. Draft a work plan,Quarter 2,Availibility of required dataset from the respective departments such as Civil Registry office and Department of Health,In-Progress
,,,,,,,ii. Budget draft plan,,,
,,,,,,,iii. Consultation and support CRIMs and other relevant stakeholders,,,
,,,,Donor,7.1.5. Statistical Training to Provincial Youth Groups ,2,i. Capacity building of Provincial Youth Groups ,Quarter 3,Funding availibility and members be representative,Completed
,,,,"10,000",7.1.6. Education Statistics - VANSTA Examination report,1,i. Create dashboard using Power BI,Quarter 1,"Allowing access to Education datasets, is it a clean dataset? ",In-Progress
,,,,,,,ii. Draft policy brief on Literacy and Numeracy,,,
,,,,,,,iii. Provide support to review Education digest and statistics report,,,
,,,,"120,000",7.1.7. Coordinate the National Gender Road Map ,1,i. Gender National Road Map report: VBoS to liaise with SPC and the DWA on the way forward towards the drafting of the National Gender Road Map,Quarter 1-3,The Departmentof Women Affairs has to take lead in this initiative and ensure that resources are avaialable for the smooth processes of this roadmap report ,In-Progress
,,,,,,,ii. Review Prevalence Domestic Violence Survey (PDVS) findings and assist in launching of PDVS report,,PDVS Launching done,completed
,,,,, 7.1.8 Support with PDVS survey report,1,i. Design infographics on PDVS findings,,dataset to be provided,In-Progress
,,,,Donor,7.1.9. Task Force Member for the CAT Reporting - United Nation Report,1,i. Convention Against Torture Initial Report completed and sent to the UN,Quarter 2,"The Ministry of Justice, Youth and Community Services to ensure that the report reflect the country legal standards and our laws are being reflected in this UN Treaty reporting",Completed
,,,,"20,000",7.1.10. Court Statistics,1,i. Review and Publish court statistics dashboard,,Dashboard completed and published,Completed
,,,,,,,ii. Request letter to CJ seeking his approval to review court annual report,,Letter to CJ drafted,In-Progress
,,,,"20,000",7.1.11.  Crime Statistics,1,i. Facilitate signing of MOA between VPF and VBoS,Quarter 1-3,awaiting review and feedback from the Police on the MOA.,Completed
,,,,,,,ii. Draft crime statistical reporting,,Data be collected from Crime office,
,,,,"100,000",7.1.12. Environment Statistics,1,i.  Work with the Ocean department to establish preliminary Ocean accounts,Quarter 1 and Quarter 4,The Ocean affairs rapid response to VBoS on this initiative,In-Progress
,,,,,,,ii. Produce preliminary land cover account,,,
,7.2,Client Request Support Services,MFDB,"30,000",7.2.1. Statistical Assistance: Daily advice and queires to clients,,i. Register client request by individual staff,31-Dec-26,the availibility of some administrative datasets that is not within reach of the VBoS.,In-Progress
,,,,,,,ii. Run request and disseminate,,,
