Strategy Objective,Code,Program,Activity, Budget ,Output/Service Target,Target,Action,Due Date,Comments/Risks,Progress
DEVELOP A HARMONIZED NATIONAL STATISTICS OFFICE,9.1,10 year Data Collection Plan,MFDB, Donor ,HIES,,,,,
,,,,,9.1.1. Recruitment,1,Assist Port Vila Team,2026,Natural Disaster and Pandemic,
,,,,,9.1.2. Logistics,1,Assist Port Vila Team,,,
,,,,,9.1.3. Training of Enumerators,1,Assist Port Vila Team,,Mitigation: Liaise with Project Coordinator for way forward,
,,,,,9.1.4. Publication ,1,Assist Port Vila Team,,,
,,,,,9.1.5. 12 Months Field Work Collection ,1,Field work collection monitoring in Sanma,,,
,9.2,Production of Regular Publications,MFDB,,CPI,,,,,
,,,," 20,000 ",9.2.1. 26 Data Collection and Entries,26,Luganville CPI Data Collection & Entry Forthnight,31.12.26,,
,,,," 20,000 ",9.2.2. 4 Data Collection and Entries,4,Luganville CPI Data Collection and Entry Quarterly,31.12.26,,
,,,,,Market Survey ,,,,,
,,,," 20,000 ",9.2.3. 26 Data Collection and Entries,26,Luganville Market Survey (MS2) Data Collection ,31.12.26,,
,,,,,PSI,,,,,
,,,," 200,000 ",9.2.4. Sanma Provincial Statistical Indicator,1,Facilitate the process to get all data,31.12.26,Natural Disaster and Pandemic,
,,,,,QSI ,,,,Mitigation: Registry are updated,
,,,," 20,000 ",9.2.5. Quarterly Statistical Indicator,1,Assist Economic Unit data collection and stakeholder relationship,31.12.26,,
,,,," 20,000 ",9.2.6. Business Registration ,1,Annual Business License Registry updates,31.12.26,,
,9.3,Administration and Planning ,MFDB," 100,000 ",9.3.1. DCM Santo Workplan Monitored,1,Coordinate and Facilitate Plans,31.12.26,Delay in Plans due to Natural Disaster or unforseen activities.,
,,,,,9.3.2. Santo Monthly Reporting on DCM Activities,12,Coordinate Activities and compile a report,31.12.26,,
,,,,,9.3.3. Santo Quaterly Reporting on DCM Activities,4,Coordinate Activities and compile a report,31.12.26,Mitigation: Push Activites to a later date and notify superiors of the changes,
,,,," 300,000 ",9.3.4. Capacity Building for Santo Officers,1,Liaise with Admin for Training Opportunity,31.12.26,,
,,,," 10,000 ",9.3.5. Sanma Inventory System Updated,1,Update Inventory System,31.12.26,,
,,,," 2,000,000 ",9.3.6. Effective Management of Sanma Operation ,1,Liaise with Admin to ensure effectiveness of Admin support,31.12.26,,
,,,," 500,000 ",9.3.7. Sanma Provincial Event,1,Provide assistance and coordination during provincial events in Sanma (North). ,31.12.26,,
,,,," 300,000 ",9.3.8.Sanma Fleet Management Reporting,4,Official Use of Truck and Boat ,31.12.26,,
,9.4,Other Activities,MFDB," 40,000 ",9.4.1. Sanma VBoS Representative in PTAC,12,Present during every PTAC Meeting ,31.12.26,,
,,,," 50,000 ",9.4.2. Develop strong relationship with stakeholders and all enquiries are dealth with in a timely manner,1,Facilitate all enquiries received from stakeholders,31.12.26,,
,,,," 50,000 ",9.4.3. Ad-hoc Survey,1,Provide techinical assistance and support for a smooth running process of the survey.,31.12.26,,
,,TOTAL BUDGET,," 3,650,000 ",,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
