Strategy Objective,Code,Program,Activity, Budget ,Output/Service Target,Target,Action,Due Date,Comments/Risks,Progress
DEVELOP A HARMONIZED NATIONAL STATISTICS OFFICE,11.1,10 year Data Collection Plan,MFDB, Donor ,HIES,,,,,
,,,,,11.1.1. Recruitment,1,Assist Port Vila Team,2026,Natural Disaster and Pandemic,
,,,,,11.1.2. Logistics,1,Assist Port Vila Team,,,
,,,,,11.1.3. Training of Enumerators,1,Assist Port Vila Team,,Mitigation: Liaise with Project Coordinator for way forward,
,,,,,11.1.4. Publication ,1,Assist Port Vila Team,,,
,,,,,11.1.5. 12 Months Field Work Collection ,1,Field work collection monitoring in Penama,,,
,11.2,Production of Regular Publications,MFDB,,PSI,,,,,
,,,," 200,000 ",11.2.1. Penama Provincial Statistical Indicator,1,Complete Penama PSI,31.12.26,Natural Disaster and Pandemic,
,,,,,11.2.2. Penama Provincial Business License Registry Updates,1,Annual Business License Registry updates,31.12.26,Mitigation: Seek Assistance to ensure PSI and Registry are updated,
,11.3,Administration and Planning ,MFDB,,11.3.1. Quarterly Report to DCM and Admin Manager,4,Coordinate and Facilitate Plans and comiple report,31.12.26,Delay in Plans due to Natural Disaster or unforseen activities.,
,,,,,11.3.4. Capacity Building for Penama Officer,1,Liaise with Admin for Training Opportunity,31.12.26,,
,,,,,11.3.5. Penama Inventory System Updated,1,Update Inventory System,31.12.26,Mitigation: Push Activites to a later date and notify superiors of the changes,
,,,," 800,000 ",11.3.6. Effective Management of Penama Operation ,1,Liaise with Admin to ensure effectiveness of Admin support,31.12.26,,
,,,,,11.3.7. Penama Provincial Event,1,Provide assistance and coordination during provincial events in Penama.  ,31.12.26,,
,,,,,11.3.8. Penama Fleet Management Reporting - Quad,4,Status of the VBoS Quad for Penama,31.12.26,,
,11.4,Other Activities,MFDB,,11.4.1. Penama VBoS Representative in PTAC,12,Present during every PTAC Meeting ,31.12.26,,
,,,,,11.4.2. Develop strong relationship with stakeholders and all enquiries are dealth with in a timely manner,1,Facilitate all enquiries received from stakeholders,31.12.26,,
,,,,,11.4.3. Provide technical support for a smooth running process of the survey ,1,Provide assistance and coordination ,31.12.26,,
,,TOTAL BUDGET,," 1,000,000 ",,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
