Strategy Objective,Code,Program,Activity, Budget ,Output/Service Target,Target,Action,Due Date,Comments/Risks,Progress
DEVELOP A HARMONIZED NATIONAL STATISTICS OFFICE,12.1,10 year Data Collection Plan,MFDB, Donor ,HIES,,,,,
,,,,,12.1.1. Recruitment,1,Assist Port Vila Team,2026,Natural Disaster and Pandemic,Complete
,,,,,12.1.2. Logistics,1,Assist Port Vila Team,,,Complete
,,,,,12.1.3. Training of Enumerators,1,Assist Port Vila Team,,Mitigation: Liaise with Project Coordinator for way forward,Complete
,,,,,12.1.4. Publication ,1,Assist Port Vila Team,,,Complete
,,,,,12.1.5. 12 Months Field Work Collection ,1,Field work collection monitoring in Tafea,,,In progress
,12.2,Production of Regular Publications,MFDB,,CPI,,,,,
,,,," 20,000 ",12.2.1. 26 Data Collection and Entries,26,Lenakel CPI Data Collection & Entry Forthnight,31.12.26,,Quarter 1 complete
,,,," 20,000 ",12.2.2. 4 Data Collection and Entries,4,Lenakel CPI Data Collection and Entry Quarterly,31.12.26,Natural Disaster and Pandemic,Quarter 1 complete
,,,,,Market Survey ,,,,Mitigation: Registry are updated,
,,,," 20,000 ",12.2.3. 26 Data Collection and Entries,26,Lenakel Market Survey Data Collection ,31.12.26,,
,,,,,12.2.4. Business Registry ,1,Assist in Tafea Busness Data Collection ,31.12.26,,2024 Tafea Business Data collection complete
,,,,,PSI,,,,,
,,,," 200,000 ",12.2.5. Tafea Provincial Statistical Indicator,1,Complete 2023-2025 PSI,31.12.26,,Data collection complete
,12.3,Administration and Planning ,MFDB," 100,000 ",12.3.1. Quarterly Reporting to DCM and Admin Manager,4,Coordinate and Facilitate Plans,31.12.26,Delay in Plans due to Natural Disaster or unforseen activities.,
,,,,,12.3.2. Hire an Intern to assist with Tafea Operations,1,Liaise with Admin to facilitate,30.01.26,,Complete
,,,," 300,000 ",12.3.4. Capacity Building for Tafea Officer,1,Liaise with Admin for Training Opportunity,31.12.26,Mitigation: Push Activites to a later date and notify superiors of the changes,not training undertaken yet
,,,," 10,000 ",12.3.5. Tafea Inventory System Updated,1,Update Inventory System,31.12.26,,in progress
,,,," 2,000,000 ",12.3.6. Effective Management of Tafea Operation ,1,Liaise with Admin to ensure effectiveness of Admin support,31.12.26,,up to date
,,,,,12.3.7. Statistical Literacy ,1,Report to Manager DCM,31.07.26,,Not yet done
,,,," 500,000 ",12.3.8. Tafea Provincial Event,1,Provide assistance and coordination during provincial events in Tafea. ,31.12.26,,Not yet Done
,,,,,12.3.9. New Photocopy Machine,1,Liaise with Finance for approval and payment,30.03.26,,not yet done
,,,," 300,000 ",12.3.10. Tafea Fleet Management - New Vehicle,1,Liaise with Admin and CS for approval,31.12.26,,not yet done
,12.4,Other Activities,MFDB," 40,000 ",12.4.1. Tafea VBoS Representative in PTAC,12,Present during every PTAC Meeting ,31.12.26,,Up to date. (on going)
,,,," 50,000 ",12.4.2. Develop strong relationship with stakeholders and all enquiries are dealth with in a timely manner,1,Facilitate all enquiries received from stakeholders,31.12.26,,Up to date. (on going)
,,,," 50,000 ",12.4.3. Ad-hoc Survey,1,Provide techinical assistance and support for a smooth running process of the survey.,31.12.26,,up to date
,,TOTAL BUDGET,," 3,610,000 ",,,,,,
,,,,,,,,,,
