Strategy Objective,Code,Program,Activity,Budget,Output/Service Target,Target,Action,Due Date,Comments/Risks,Progress
,1.1,Statistical Legislation Governance,MFBA,,"Oversee the statistical governance through the Statistics Advisory Council mandated to support the Chief Statistician with oversight of VBoS operations and approval of Policys, long term plans. In addition, the endorsement of 2025 Annual Report and 2026 Business Plans.


",x2 SAC Meeting held,,Dec,1st meeting on 2nd April ,In progress
,,,,,,x2 Regulations endorsed by SAC,,Sept,"Two regulations; (1) Conduct of Surveys & Census, (2) Ethics establishment (3) Methods & Standards",Not yet started
,,,,,,NSDS implementation report endorsed by SAC,,Dec,1st report presented @ NSAC meeting,In progress
,1.2,Management & Administration of the Vanuatu Bureau of Statistics,MFBA,,"Oversee the daily administration of the department through efficient, effective Management of the programs and activities as outlined in the VBoS 2026 Business Plan",Quarterly report provided to DGs Office on Business Plan progress.,,Dec,1st Qtr report to be submitted in May,In progress
,1.3,Budgeting & Financial Management,MFBA,,Oversee the preparation and Management of annual budget for the department and ensure it reflects the Business Plan priorities ,Quarterly report provided DGs Office on Budget Mgt.,,Dec,1st Qtr report to be submitted in May,In progress
,,,,,To exercise control over the expenditure of all funds made available to the Department as per PFEM Act and also management of the department assets.,,,,1st Qtr report to be submitted in May,In progress
,,,,,Coordinate the development of annual budget and facilitated the submission to the Ministerial Budget committee (MBC).,VBoS 2027 Budget and NPP submitted,,June,(1) NPP submitted to MBC for supplementary budget in 30th Mar and recieved in 8th April. (2) 2027 Budget submission in May before deadline for Jun,In progress
,1.4,Human Resource Management and Development,MFBA,,Ensure performance review of staff are conducted.,Staff Appraisal for 2025 submitted and 2026 Beginning and Mid Year subbmited,,Feb,,Complete
,,,,,Take leading role to oversee the Individual Annual Work Plan.,,,Dec,,
,,,,,Manage staff to undergo short- and long-term training based on the department needs whenever required.,Skills Gap Analysis conducted,,June,,Not yet started
,,,,,Ensure department staff annual leave are manageable.,Annual leave balance of individual staff is up to-date (Must not exceed at 21 days in total),,Dec,,In progress
,,,,,Management of staff Retirement,Retirement budget is included in the Department Annual budget.,,June,1. Staff retirement in 2026 (Mrs. Anna Wells Tavoa),In progress
,1.5,Planning and Policy,MFBA,,"To effectively supervise the development, revision and Implementation of major policies for the efficient operation and management of the department.",Review on the provision of relevant policy.,,Sept,,Not yet started
,,,,,Ensure that the departments Business Plan accommodates relevant sector objectives under the National Sustainable Development Plan (NSDP) and sector Plans,2027 Annual Business Plan completed by December 2026.,,Dec,2027 Business Planning meeting on the 12th May 2026,Not yet started
,,,,,"Provide accurate policy advice to DG, Minister and department officials/or stakeholders",A timely advice to Minister and DG MFEM is required. ,,Ongoing,"Provided through (1) Ministerial MFEM Executive meeting per Qtr, (2) CSU MFEM Executive meetings and adhoc meetings",In progress
,,,,,Participate and Contribute constructively to the development of MFEM Corporate Plan aligning with relevant Pillars and policy objectives under NSDP. ,MFEM Corporate Plan related VBoS targets and activities updated in Annual Report of VBoS,,Dec,,Up to date
,,,,,"Develop a communication policy, regulation and strategy to promote the use of data and the services provided by the statistical office in line with the Statistics Act.",VBoS Communications Regulation Order signed,,July,"Under the Power of Data project, with UNESCAP, a communications workshop was held in March.",In progress
,1.6,Project Management (Censes &Survey),MFBA,,"Oversea the design, budget acquisition, program / activities implementation and reporting. Report provided on the completion of projects and dateline met submitted to the Donor Partners. ",Labour Force Survey - Report Launched in March,,Dec,Will be launched in May 2026,Up to date
,,,,,,Household Income & Expenditure Survey - Data collection ,,,,In progress
,,,,,,NCD STEPS Survey - Design and Implementation,,,,In progress
,1.7,Public Relations & Stakeholder Engagement,MFBA,,"Co-ordinate the departments programs and activities that involve other government Ministries, Private Sectors, International Organization on Important Issues that requires collaborative efforts. ","x5 Partnership Agreements signed (MOU, MOA, Grant Agreement, etc..)",,Dec,,In progress
,,,,,,Report on stakeholder engagement to be reflected in Annual Report,,Dec,"(1) Trainings conducted with Youth & Labour on basic data analysis & report writing, (2) PSC request on Annual reports review, etc...",In progress
,1.8,Reporting,MFBA,,Ensure that Department provide Annual Report annually on the progress of Business Plan Implementation,2025 Annual Report Submitted to DGs Office,,Feb,,Complete
,,,,,,1st Draft of Annual Report submitted to DG’s office by 31st of December 2026,,Dec,,In progress
,,TOTAL BUDGET,,0,,,,,,
