Strategy Objective,Code,Program,Activity, Budget ,Output/Service Target,Target,Action,Due Date,Comments/Risks,Progress
,2.1,10 year Data Collection Plan,MFDA, Donor ,Labour Force Survey,,,,,
DEVELOP A HARMONIZED NATIONAL STATISTICS OFFICE,,,,,2.1.1. Administration Report,1,2024-2025 Labour Force Survey,2026,,Not yet Started
,,,, Donor ,HIES,,,,,
,,,,,2.1.2.. Training of Trainers,1,2025 HIES,2026-2027,1. Natural Disaster (Cyclone Season),Complete
,,,,,2.1.3. Training of Enumerator,1,Assist Port Vila,,2. Enumerator Turnover,Complete
,,,,,2.1.4.. Fieldwork Monitoring of Enumerators,1,Assist Port Vila,,3. Delay of Funds,In progress
,,,, Donor ,NCD SURVEY,,,,,
,,,,,2.1.5. Provide Technical Support,1,Field work collection monitoring in Sanma,2026,,In progress
,2.2,Production of Regular Pulbications,MFDA," 500,000 ",CPI,,,,,
,,,,,2.2.1. 26 Data Collection & 26 Entries,26,CPI Forhtnighly Data Collection,,1. Delay in prining ,In progress
,,,,,2.2.2. 4 Data Collection,4,CPI Quaterly Data Collection,31-Dec-26,2. No available vehicle ,In progress
,,,,,,,,,3. Unforseen circumstances,
,,,,,MARKET SURVEY,,,,,
,,,,,2.2.3. 26 Data Collection & 26 Entries,26,Market Survey Fornightly Data Collection & Entry,31-Dec-26,,In progress
,,,," 100,000 ",PROVINCIAL REPORTS,,,,,
,,,,,2.3.4. Provincial Statistical Indicator- (PSI),6,,31-Dec-26,,In progress
,2.3,DCM Reporting and Development,MFDA,,STAFF WORKPLAN,,,,,
,,,,, 2.3.1. Annual long-term goals with monthly reviews,12,DCM Staff Monthly Reporting,31-Dec-26,,In progress
,,,," 100,000 ",QUATERLY SECTION MEETINGS,,,,,
,,,,,2.3.2. DCM Quaterly Section Meetings,4,,31-Dec-26,,Not yet Started
,,,," 200,000 ",CAPACITY BUILDING,,,,,
,,,,,"2.3.3. Capacity Building for DCM Staffs through online, in-house and external trainings. (Survey Solutions, Tableau, R)",4,,31-Dec-26,,Not yet Started
,,,,,QUATERLY REPORTING TO CS OFFICE,,,,,
,,,,,2.3.4. Quaterly Report to Executive and CS Office,4,,31-Dec-26,,In progress
,2.4,Standard Operating Procedure (SOP),MFDA," 100,000 ",2.4.1. PSI Final SOP Report,1,,31-Mar-26,,In progress
,,,,,2.4.2. CENSUS Final SOP Report,1,,31-Mar-26,,In progress
,,,,,2.4.3. SURVEY Final SOP Report,1,,31-Mar-26,,In progress
,,,,,2.4.4. CPI Final SOP Report,1,,31-Mar-26,,In progress
,,,,,2.4.5. MARKET SURVEY Final SOP Report,1,,31-Mar-26,,In progress
,2.5,Other Activities,MFDA,,2.5.1.STAKEHOLDER SUPPORT RELATIONSHIP DEVELOPED,1,,31-Dec-26,,In progress
,,,, ADB ,2.5.2. Ad-hoc Survey - Provide Technical support for a smooth running process of the survey,1,,,,Not yet Started
,,,,,2.5.3. Pacific Mobility Survey Wave 2 - Provide Technical support for a smooth running process of the survey,1,,,,In progress
,,TOTAL BUDGET,," 1,000,000 ",,,,,,
