Strategy Objective,Code,Program,Activity, Budget ,Output/Service Target,Target,Action,Due Date,Comments/Risks,Progress
DEVELOP A HARMONIZED NATIONAL STATISTICS OFFICE,8.1,10 year Data Collection Plan,MFDB, Donor ,HIES,,,,,
,,,,,8.1.1. Recruitment,1,Assist Port Vila Team,2026,Natural Disaster and Pandemic,
,,,,,8.1.2. Logistics,1,Assist Port Vila Team,,,
,,,,,8.1.3. Training of Enumerators,1,Assist Port Vila Team,,Mitigation: Liaise with Project Coordinator for way forward,
,,,,,8.1.4. Publication ,1,Assist Port Vila Team,,,
,,,,,8.1.5. 12 Months Field Work Collection ,1,Field work collection monitoring in Torba,,,
,8.2,Production of Regular Publications,MFDB,,PSI,,,,,
,,,," 200,000 ",8.2.1. Torba Provincial Statistical Indicator,1,Complete Torba PSI 2023-2024,31.12.26,Natural Disaster and Pandemic,
,,,," 25,000 ",8.2.2. Torba Provincial Business License Registry Updates,1,Annual Business License Registry updates,31.12.26,Mitigation: Seek Assistance to ensure PSI and Registry are updated,
,8.3,Administration and Planning ,MFDB," 100,000 ",8.3.1. DCM Torba Workplan Monitored,1,Coordinate and Facilitate Plans,31.12.26,Delay in Plans due to Natural Disaster or unforseen activities.,
,,,,,8.3.2. Torba Monthly Reporting on DCM Activities,12,Coordinate Activities and compile a report,31.12.26,,
,,,,,8.3.3. Torba Quaterly Reporting on DCM Activities,4,Coordinate Activities and compile a report,31.12.26,Mitigation: Push Activites to a later date and notify superiors of the changes,
,,,," 300,000 ",8.3.4. Capacity Building for Torba Officer,1,Liaise with Admin for Training Opportunity,31.12.26,,
,,,," 25,000 ",8.3.5. Torba Inventory System Updated,1,Update Inventory System,31.12.26,,
,,,," 200,000 ",8.3.6. Effective Management of Torba Operation ,1,Liaise with Admin to ensure effectiveness of Admin support,31.12.26,,
,,,," 500,000 ",8.3.7. Torba Provincial Event,1,Provide assistance and coordination during provincial events in Torba (North). ,31.12.26,,
,,,," 100,000 ",8.3.8. Torba Fleet Management Reporting,4,Official Use of Truck and Boat ,31.12.26,,
,8.4,Other Activities,MFDB," 50,000 ",8.4.1. Torba VBoS Representative in PTAC,12,Present during every PTAC Meeting ,31.12.26,,
,,,," 50,000 ",8.4.2. Develop strong relationship with stakeholders and all enquiries are dealth with in a timely manner,1,Facilitate all enquiries received from stakeholders,31.12.26,,
,,,," 50,000 ",8.4.3. Provide technical support for a smooth running process of the survey ,1,Provide assistance and coordination ,31.12.26,,
,,TOTAL BUDGET,," 1,600,000 ",,,,,,
,,,,,,,,,,
